device,accuracy,val_accuracy,loss,val_loss,day,execute_time_seconds,evaluate_time_seconds,is_model_changed,evaluate_accuracy
4,0.8736842275,0.8739495873,0.2980652497,0.306483079,3,414.8680236339569,90.75271415710448,1.0,0.8823529481887817
5,0.8989473581314087,0.8697478771209717,0.2626850428079303,0.2691797539591789,3,417.65609407424927,101.99533772468568,1.0,0.8865545988082886
6,0.9084210396,0.8865545988,0.2279980037,0.3016548897,3,422.997296333313,86.77051854133606,0.0,0.8739495873451233
7,0.9073684215545654,0.8655462265014648,0.2260255037483416,0.3237793962160746,3,416.7852237224579,87.52889251708984,1.0,0.8697478771209717
8,0.8999999762,0.9201680422,0.2511507334,0.2069714566,3,411.179958820343,88.92692351341248,1.0,0.9327731132507324
9,0.8789473772,0.9369747639,0.281353731,0.2173805378,3,424.693678855896,86.24823522567749,0.0,0.8991596698760986
10,0.9021052718,0.8445377946,0.2719959625,0.309705927,3,417.1075220108032,86.63248491287231,1.0,0.8907563090324402
11,0.9021052718162536,0.8865545988082886,0.2523777996866326,0.2971222594380379,3,423.4715733528137,84.03678846359253,0.0,0.8655462265014648
12,0.921052634716034,0.8865545988082886,0.2080258704329791,0.2558333074053128,3,419.35870885849,88.26977276802063,0.0,0.8697478771209717
13,0.9210526347,0.9201680422,0.209248741,0.2626138791,3,428.8332464694977,85.99371910095215,0.0,0.9201680421829224
14,0.8989473581314087,0.8823529481887817,0.2626486962719968,0.2626173983017603,3,420.00745701789856,89.41696500778198,1.0,0.8865545988082886
15,0.9073684215545654,0.9075630307197572,0.2342144971301681,0.2688740720351537,3,419.1434848308563,87.22457551956177,0.0,0.9033613204956056
16,0.878947377204895,0.8613445162773132,0.2911929611783279,0.3813059081633885,3,415.4248757362366,86.82910823822021,1.0,0.9033613204956056
17,0.886315763,0.9033613205,0.2916738067,0.2286415751,3,420.85993099212646,87.967524766922,1.0,0.911764681339264
18,0.8831579089,0.8571428657,0.2752009579,0.3224006752,3,412.517637014389,86.34152030944824,1.0,0.9201680421829224
19,0.9189473391,0.8697478771,0.2160329813,0.353686285,3,424.43062806129456,87.28288316726685,0.0,0.8571428656578064
0,0.9147368669509888,0.8991596698760986,0.2212849563673923,0.218844473361969,4,421.1469523906708,87.81174182891846,1.0,0.9075630307197572
1,0.886315763,0.9075630307,0.2657162118,0.2440000892,4,425.7859208583832,87.23151922225952,1.0,0.924369752407074
2,0.9031578898429872,0.8739495873451233,0.2493780128344109,0.2646497341493765,4,427.50367856025696,88.96881985664368,1.0,0.911764681339264
3,0.9021052718,0.8865545988,0.2626907955,0.2974470605,4,431.83122730255127,98.59436678886414,1.0,0.8907563090324402
4,0.8736842275,0.8739495873,0.2980652497,0.306483079,4,420.183899641037,86.80504179000854,1.0,0.894957959651947
5,0.9021052718162536,0.8697478771209717,0.2533139103651047,0.3563552180926005,4,429.44718766212463,87.05827641487122,1.0,0.9033613204956056
6,0.9084210396,0.8865545988,0.2279980037,0.3016548897,4,424.6083738803864,86.73575901985168,0.0,0.8823529481887817
7,0.9073684216,0.8655462265,0.2260255037,0.3237793962,4,428.27696347236633,86.55536913871765,1.0,0.8781512379646301
8,0.8999999762,0.9201680422,0.2511507334,0.2069714566,4,426.4191184043884,90.24179649353027,1.0,0.9369747638702391
9,0.8789473772,0.9369747639,0.281353731,0.2173805378,4,430.6700277328491,87.33562636375427,0.0,0.911764681339264
10,0.9021052718,0.8445377946,0.2719959625,0.309705927,4,420.8325350284576,87.59070754051208,1.0,0.894957959651947
11,0.906315803527832,0.911764681339264,0.2122963596331445,0.2708229472239812,4,431.7425825595856,84.53065752983093,0.0,0.8823529481887817
12,0.9210526347,0.8865545988,0.2080258704,0.2558333074,4,432.8110542297363,85.48651146888733,1.0,0.8865545988082886
13,0.9210526347,0.9201680422,0.209248741,0.2626138791,4,431.1506850719452,89.51398539543152,1.0,0.9285714030265808
14,0.8989473581,0.8823529482,0.2626486963,0.2626173983,4,422.0122811794281,86.76206040382385,1.0,0.894957959651947
15,0.9073684216,0.9075630307,0.2342144971,0.268874072,4,430.3457953929901,88.05702924728394,1.0,0.9075630307197572
16,0.9231578707695008,0.8823529481887817,0.209059349329848,0.3073971467713515,4,421.7349953651428,86.00705099105835,1.0,0.9201680421829224
17,0.886315763,0.9033613205,0.2916738067,0.2286415751,4,419.9574389457703,85.84537243843079,1.0,0.911764681339264
18,0.9242105484008788,0.9159663915634156,0.1958571938464516,0.2250692928830782,4,418.98109126091,87.01808190345764,0.0,0.9159663915634156
19,0.9189473391,0.8697478771,0.2160329813,0.353686285,4,432.52490234375,86.5072557926178,1.0,0.8697478771209717
0,0.9242105484008788,0.911764681339264,0.1881666029754438,0.2146960792442162,5,417.1536903381348,87.19467520713806,0.0,0.9075630307197572
1,0.886315763,0.9075630307,0.2657162118,0.2440000892,5,414.48525500297546,99.1651692390442,1.0,0.9285714030265808
2,0.9073684215545654,0.8991596698760986,0.2405460295551701,0.2619023854533831,5,418.1776988506317,88.15892910957336,1.0,0.9201680421829224
